"id"	"exp_condition"	"workerid"	"round"	"round_step"	"total_step"	"participant_x"	"participant_y"	"participant_action"	"participant_points"	"learner_x"	"learner_y"	"learner_action"	"reaction_time"	"is_collision"	"participant_gets_goal"	"learner_gets_goal"	"computation_time"	"learner_iterations"	"date_time"
6284	"f"	"UzcusTNxF2"	9	5	76	3	0	"right"	9	2	1	"left"	829	0	0	0	562	0	"2015-10-15T22:51:49.796Z"
6285	"f"	"cg30Fxw2CY"	6	9	64	3	1	"wait"	6	4	1	"up"	985	1	0	0	661	4	"2015-10-15T22:43:02.451Z"
6286	"s"	"Zh1MLlISAE"	11	3	101	3	1	"right"	10	4	0	"up"	778	1	0	0	337	0	"2015-10-15T22:51:48.319Z"
6287	"f"	"UzcusTNxF2"	9	6	77	4	0	"up"	9	1	1	"left"	895	0	1	1	594	0	"2015-10-15T22:51:50.998Z"
6288	"f"	"8vfXyBuTAC"	5	0	30	0	1	"right"	0	4	1	"left"	2153	0	0	0	187	0	"2015-10-15T22:51:38.038Z"
6289	"s"	"Zh1MLlISAE"	11	4	102	3	1	"wait"	10	4	0	"up"	997	1	0	0	355	0	"2015-10-15T22:51:49.642Z"
6290	"f"	"cg30Fxw2CY"	6	10	65	3	1	"right"	6	4	2	"right"	1242	0	1	0	1075	8	"2015-10-15T22:43:04.000Z"
6291	"s"	"Zh1MLlISAE"	11	5	103	3	1	"wait"	10	4	1	"left"	673	1	0	0	321	0	"2015-10-15T22:51:50.632Z"
6292	"s"	"EaivrqabCG"	1	0	7	0	1	"right"	0	4	1	"left"	2231	0	0	0	458	0	"2015-10-15T22:54:10.841Z"
6293	"f"	"8vfXyBuTAC"	5	1	31	1	1	"right"	0	3	1	"down"	2313	0	0	0	172	0	"2015-10-15T22:51:40.672Z"
6294	"f"	"UzcusTNxF2"	10	0	78	0	1	"right"	10	4	1	"right"	1053	0	0	0	570	0	"2015-10-15T22:51:54.626Z"
6295	"f"	"m9ncUQfmjD"	1	5	12	2	1	"right"	1	3	1	"left"	9411	1	0	0	331	0	"2015-10-15T22:52:03.477Z"
6296	"s"	"Zh1MLlISAE"	11	6	104	3	1	"wait"	10	4	1	"up"	1455	1	0	0	1229	3	"2015-10-15T22:51:52.402Z"
6297	"s"	"EaivrqabCG"	1	1	8	1	1	"up"	0	3	1	"left"	1248	0	0	0	419	0	"2015-10-15T22:54:12.403Z"
6298	"f"	"cg30Fxw2CY"	7	0	66	0	1	"right"	7	4	1	"up"	498	0	0	0	146	0	"2015-10-15T22:43:07.066Z"
6299	"f"	"cg30Fxw2CY"	7	1	67	1	1	"right"	7	4	2	"right"	354	0	0	0	153	0	"2015-10-15T22:43:07.730Z"
6300	"f"	"8vfXyBuTAC"	5	2	32	2	1	"wait"	0	3	0	"left"	1689	1	0	0	172	0	"2015-10-15T22:51:42.685Z"
6301	"f"	"UzcusTNxF2"	10	1	79	1	1	"right"	10	4	1	"left"	756	0	0	0	599	0	"2015-10-15T22:51:55.695Z"
6302	"s"	"Zh1MLlISAE"	11	7	105	3	1	"right"	10	4	2	"down"	1194	1	0	0	961	2	"2015-10-15T22:51:53.913Z"
6303	"s"	"EaivrqabCG"	1	2	9	1	2	"right"	0	2	1	"wait"	883	1	0	0	533	0	"2015-10-15T22:54:13.602Z"
6304	"f"	"UzcusTNxF2"	10	2	80	2	1	"right"	10	3	1	"left"	918	1	0	0	582	0	"2015-10-15T22:51:56.949Z"
6305	"f"	"cg30Fxw2CY"	7	2	68	2	1	"right"	7	4	2	"right"	1008	0	0	0	641	4	"2015-10-15T22:43:09.046Z"
6306	"s"	"Zh1MLlISAE"	11	8	106	3	1	"wait"	10	4	2	"down"	1474	1	0	0	1219	3	"2015-10-15T22:51:55.703Z"
6307	"f"	"UzcusTNxF2"	10	3	81	2	1	"down"	10	3	1	"wait"	826	1	0	0	565	0	"2015-10-15T22:51:58.120Z"
6308	"f"	"cg30Fxw2CY"	7	3	69	3	1	"right"	7	4	2	"down"	1045	1	0	0	649	4	"2015-10-15T22:43:10.399Z"
6309	"s"	"Zh1MLlISAE"	11	9	107	3	1	"wait"	10	4	1	"right"	784	1	0	0	502	0	"2015-10-15T22:51:56.802Z"
